Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total
18:52:45,18:53:05,18575,18580,0
18:52:45,18:53:05,18580,18585,0
18:53:10,18:53:10,18585,18590,18
18:53:15,18:54:00,18590,18595,136
18:54:05,18:55:00,18595,18600,122
18:55:05,18:55:40,18600,18605,61
18:55:45,18:58:35,18600,18595,160
18:58:40,18:59:30,18600,18605,99
18:59:40,19:01:25,18600,18595,126
19:01:30,19:03:05,18600,18605,116
19:03:10,19:03:10,18605,18610,88
19:03:15,19:04:15,18610,18615,194
19:04:20,19:05:50,18615,18620,218
19:05:55,19:10:30,18615,18610,265
19:10:35,19:13:40,18615,18620,130
19:13:45,19:16:00,18615,18610,97
19:16:05,19:32:25,18610,18605,639
19:32:30,19:33:35,18610,18615,80
19:33:40,19:37:25,18615,18620,212
19:37:30,19:37:30,18615,18610,6
19:37:35,19:41:00,18610,18605,189
19:41:05,19:42:25,18605,18600,274
19:41:05,19:42:25,18600,18595,0
19:41:05,19:42:25,18595,18590,0
19:42:35,19:42:40,18595,18600,19
19:42:45,19:42:45,18600,18605,9
19:42:50,19:43:00,18605,18610,67
19:43:05,19:44:45,18610,18615,132
19:44:50,19:44:50,18610,18605,39
19:44:55,19:46:45,18605,18600,116
19:46:55,19:47:10,18605,18610,26
19:47:15,19:47:15,18610,18615,26
19:47:20,19:47:20,18615,18620,40
19:47:25,19:47:35,18620,18625,93
19:47:40,19:48:25,18625,18630,86
19:48:30,19:49:15,18630,18635,166
19:48:30,19:49:15,18635,18640,0
19:49:20,19:50:45,18635,18630,121
19:50:50,19:55:20,18630,18625,219
19:55:25,20:00:05,18630,18635,250
20:00:10,20:01:20,18630,18625,78
20:01:30,20:01:35,18625,18620,46
20:01:40,20:02:15,18620,18615,73
20:02:20,20:02:25,18615,18610,43
20:02:30,20:04:40,18610,18605,247
20:04:45,20:10:35,18605,18600,435
20:10:40,20:11:10,18605,18610,96
20:11:15,20:11:15,18605,18600,1
20:11:20,20:15:30,18600,18595,323
20:15:35,20:16:20,18600,18605,93
20:16:25,20:17:40,18605,18610,123
20:17:45,20:18:40,18610,18615,72
20:18:45,20:20:40,18615,18620,118
20:20:50,20:21:40,18615,18610,210
20:21:45,20:21:50,18610,18605,41
20:21:55,20:25:30,18605,18600,143
20:25:55,20:26:00,18605,18610,39
20:26:05,20:29:35,18610,18615,169
20:29:40,20:32:10,18610,18605,148
20:32:15,20:33:30,18605,18600,66
20:33:35,20:36:40,18605,18610,154
20:37:05,20:41:55,18610,18615,249
20:42:10,20:46:00,18610,18605,200
20:46:05,20:59:05,18610,18615,465
20:59:10,21:00:45,18610,18605,110
21:00:50,21:07:10,18605,18600,332
21:07:15,21:07:20,18600,18595,34
21:07:25,21:10:15,18595,18590,230
21:10:20,21:12:15,18595,18600,82
21:12:25,21:13:20,18600,18605,51
21:13:25,21:15:50,18605,18610,200
21:15:55,21:30:25,18610,18615,431
21:30:30,21:34:05,18615,18620,335
21:30:30,21:34:05,18620,18625,0
21:34:10,21:34:25,18620,18615,92
21:34:30,21:34:55,18615,18610,27
21:35:00,21:35:00,18610,18605,18
21:35:05,21:36:50,18605,18600,253
21:35:05,21:36:50,18600,18595,0
21:36:55,21:44:50,18600,18605,597
21:36:55,21:44:50,18605,18610,0
21:44:55,21:52:35,18605,18600,280
21:52:45,21:57:40,18605,18610,132
21:57:45,21:59:25,18605,18600,70
21:59:30,22:00:45,18605,18610,61
22:00:50,22:16:20,18610,18615,722
22:00:50,22:16:20,18615,18620,0
22:16:25,22:19:50,18620,18625,156
22:19:55,22:26:15,18625,18630,184
22:26:20,22:30:15,18630,18635,227
22:30:20,22:35:55,18635,18640,231
22:36:05,22:39:00,18640,18645,122
22:39:05,22:40:30,18645,18650,135
22:40:40,22:53:10,18645,18640,300
22:53:15,22:53:15,18645,18650,14
