Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total,Moving Average,Median,Linear Regression
18:00:05,18:00:20,18595,18590,218,0,0,425
18:00:25,18:00:45,18595,18600,246,0,0,559
18:00:25,18:00:45,18600,18605,0,0,0,561
18:00:50,18:00:50,18605,18610,53,0,0,564
18:00:55,18:00:55,18610,18615,69,18604,18605,566
18:00:55,18:00:55,18615,18620,0,18610,18610,569
18:01:00,18:01:20,18620,18625,289,18615,18615,572
18:01:00,18:01:20,18625,18630,0,18620,18620,574
18:01:25,18:01:25,18630,18635,50,18625,18625,577
18:01:30,18:02:55,18635,18640,434,18630,18630,580
18:03:00,18:03:25,18635,18630,70,18632,18630,446
18:03:30,18:04:00,18630,18625,89,18632,18630,444
18:04:05,18:04:05,18630,18635,106,18633,18635,577
18:04:10,18:04:10,18635,18640,17,18634,18635,580
18:04:15,18:04:15,18640,18645,15,18635,18635,582
18:04:20,18:05:00,18645,18650,165,18639,18640,585
18:05:05,18:07:00,18650,18655,309,18645,18645,588
18:07:05,18:07:35,18650,18645,82,18647,18645,454
18:07:40,18:07:45,18645,18640,38,18647,18645,452
18:07:50,18:08:25,18640,18635,105,18645,18645,449
18:08:30,18:09:05,18635,18630,100,18641,18640,446
18:09:10,18:09:35,18635,18640,116,18638,18640,580
18:09:40,18:10:35,18640,18645,77,18638,18640,582
18:10:40,18:10:55,18640,18635,22,18637,18635,449
18:11:00,18:13:10,18635,18630,196,18636,18635,446
18:13:15,18:13:25,18630,18625,108,18635,18635,444
18:13:15,18:13:25,18625,18620,0,18631,18630,441
18:13:30,18:13:30,18620,18615,30,18625,18625,438
18:13:35,18:14:00,18615,18610,183,18620,18620,436
18:14:05,18:14:10,18610,18605,57,18615,18615,433
18:14:15,18:14:55,18605,18600,266,18610,18610,431
18:14:15,18:14:55,18600,18595,0,18605,18605,428
18:14:15,18:14:55,18595,18590,0,18600,18600,425
18:15:00,18:15:00,18590,18585,121,18595,18595,423
18:15:00,18:15:00,18585,18580,0,18590,18590,420
18:15:00,18:15:00,18580,18575,0,18585,18585,417
18:15:00,18:15:00,18575,18570,0,18580,18580,415
18:15:00,18:15:00,18570,18565,0,18575,18575,412
18:15:00,18:15:00,18565,18560,0,18570,18570,409
18:15:00,18:15:00,18560,18555,0,18565,18565,407
18:15:05,18:15:05,18555,18550,107,18560,18560,404
18:15:05,18:15:05,18550,18545,0,18555,18555,401
18:15:05,18:15:05,18545,18540,0,18550,18550,399
18:15:05,18:15:05,18540,18535,0,18545,18545,396
18:15:05,18:15:05,18535,18530,0,18540,18540,393
18:15:10,18:15:15,18530,18525,213,18535,18535,391
18:15:20,18:15:20,18530,18535,34,18533,18535,524
18:15:25,18:15:35,18535,18540,51,18533,18535,527
18:15:25,18:15:35,18540,18545,0,18535,18535,529
18:15:25,18:15:35,18545,18550,0,18539,18540,532
18:15:40,18:15:50,18550,18555,106,18545,18545,535
18:15:55,18:15:55,18555,18560,37,18550,18550,537
18:16:00,18:16:05,18560,18565,58,18555,18555,540
18:16:10,18:16:25,18560,18555,94,18557,18555,407
18:16:30,18:16:35,18555,18550,48,18557,18555,404
18:16:40,18:16:45,18550,18545,26,18555,18555,401
18:16:50,18:17:10,18545,18540,71,18551,18550,399
18:17:15,18:17:30,18545,18550,46,18548,18550,532
18:17:35,18:17:40,18545,18540,41,18545,18545,399
18:17:35,18:17:40,18540,18535,0,18542,18540,396
18:17:45,18:18:15,18535,18530,167,18539,18540,393
18:18:20,18:18:20,18535,18540,13,18539,18540,527
18:18:25,18:18:30,18540,18545,52,18538,18540,529
18:18:35,18:18:35,18545,18550,10,18540,18540,532
18:18:40,18:19:55,18550,18555,159,18544,18545,535
18:20:00,18:20:35,18555,18560,124,18550,18550,537
18:20:40,18:21:35,18555,18550,62,18552,18550,404
18:21:40,18:21:40,18550,18545,40,18552,18550,401
18:21:45,18:23:05,18545,18540,167,18550,18550,399
18:23:10,18:26:05,18545,18550,157,18549,18550,532
18:26:10,18:26:55,18545,18540,58,18545,18545,399
18:27:00,18:27:05,18545,18550,21,18545,18545,532
18:27:10,18:28:10,18550,18555,166,18547,18550,535
18:28:15,18:28:20,18550,18545,37,18548,18550,401
18:28:15,18:28:20,18545,18540,0,18546,18545,399
18:28:25,18:31:50,18545,18550,192,18548,18550,532
18:28:25,18:31:50,18550,18555,0,18549,18550,535
18:28:25,18:31:50,18555,18560,0,18550,18550,537
18:32:00,18:34:35,18555,18550,81,18551,18550,404
18:34:40,18:34:50,18555,18560,20,18555,18555,537
18:34:55,18:35:00,18560,18565,53,18558,18560,540
18:35:05,18:36:45,18565,18570,102,18561,18560,543
18:36:50,18:37:10,18570,18575,50,18564,18565,545
18:37:15,18:39:50,18575,18580,349,18570,18570,548
18:39:55,18:40:20,18575,18570,48,18572,18570,415
18:40:25,18:41:00,18570,18565,53,18572,18570,412
18:41:05,18:41:50,18570,18575,33,18573,18575,545
18:42:05,18:42:30,18575,18580,35,18574,18575,548
18:42:35,18:46:10,18580,18585,171,18575,18575,551
18:46:15,18:46:40,18580,18575,26,18576,18575,417
18:46:45,18:48:55,18575,18570,70,18577,18575,415
18:49:20,18:50:25,18575,18580,32,18578,18580,548
18:50:40,18:51:20,18575,18570,52,18576,18575,415
18:51:25,18:52:40,18570,18565,58,18572,18570,412
18:52:45,18:53:05,18570,18575,207,18572,18570,545
18:52:45,18:53:05,18575,18580,0,18574,18575,548
18:52:45,18:53:05,18580,18585,0,18575,18575,551
18:53:10,18:53:10,18585,18590,18,18579,18580,553
18:53:15,18:54:00,18590,18595,136,18585,18585,556
18:54:05,18:55:00,18595,18600,122,18590,18590,559
18:55:05,18:55:40,18600,18605,61,18595,18595,561
18:55:45,18:58:35,18600,18595,160,18597,18595,428
18:58:40,18:59:30,18600,18605,99,18600,18600,561
18:59:40,19:01:25,18600,18595,126,18600,18600,428
19:01:30,19:03:05,18600,18605,116,18601,18605,561
19:03:10,19:03:10,18605,18610,88,18602,18605,564
19:03:15,19:04:15,18610,18615,194,18606,18605,566
19:04:20,19:05:50,18615,18620,218,18609,18610,569
19:05:55,19:10:30,18615,18610,265,18612,18610,436
19:10:35,19:13:40,18615,18620,130,18615,18615,569
19:13:45,19:16:00,18615,18610,97,18615,18615,436
19:16:05,19:32:25,18610,18605,639,18613,18610,433
19:32:30,19:33:35,18610,18615,80,18612,18610,566
19:33:40,19:37:25,18615,18620,212,18614,18615,569
19:37:30,19:37:30,18615,18610,6,18612,18610,436
19:37:35,19:41:00,18610,18605,189,18611,18610,433
19:41:05,19:42:25,18605,18600,274,18610,18610,431
19:41:05,19:42:25,18600,18595,0,18606,18605,428
19:41:05,19:42:25,18595,18590,0,18600,18600,425
19:42:35,19:42:40,18595,18600,19,18598,18600,559
19:42:45,19:42:45,18600,18605,9,18598,18600,561
19:42:50,19:43:00,18605,18610,67,18600,18600,564
19:43:05,19:44:45,18610,18615,132,18604,18605,566
19:44:50,19:44:50,18610,18605,39,18607,18605,433
19:44:55,19:46:45,18605,18600,116,18607,18605,431
19:46:55,19:47:10,18605,18610,26,18608,18610,564
19:47:15,19:47:15,18610,18615,26,18609,18610,566
19:47:20,19:47:20,18615,18620,40,18610,18610,569
19:47:25,19:47:35,18620,18625,93,18614,18615,572
19:47:40,19:48:25,18625,18630,86,18620,18620,574
19:48:30,19:49:15,18630,18635,166,18625,18625,577
19:48:30,19:49:15,18635,18640,0,18630,18630,580
19:49:20,19:50:45,18635,18630,121,18632,18630,446
19:50:50,19:55:20,18630,18625,219,18632,18630,444
19:55:25,20:00:05,18630,18635,250,18633,18635,577
20:00:10,20:01:20,18630,18625,78,18631,18630,444
20:01:30,20:01:35,18625,18620,46,18627,18625,441
20:01:40,20:02:15,18620,18615,73,18624,18625,438
20:02:20,20:02:25,18615,18610,43,18621,18620,436
20:02:30,20:04:40,18610,18605,247,18615,18615,433
20:04:45,20:10:35,18605,18600,435,18610,18610,431
20:10:40,20:11:10,18605,18610,96,18608,18610,564
20:11:15,20:11:15,18605,18600,1,18605,18605,431
20:11:20,20:15:30,18600,18595,323,18602,18600,428
20:15:35,20:16:20,18600,18605,93,18602,18600,561
20:16:25,20:17:40,18605,18610,123,18604,18605,564
20:17:45,20:18:40,18610,18615,72,18605,18605,566
20:18:45,20:20:40,18615,18620,118,18609,18610,569
20:20:50,20:21:40,18615,18610,210,18612,18610,436
20:21:45,20:21:50,18610,18605,41,18612,18610,433
20:21:55,20:25:30,18605,18600,143,18610,18610,431
20:25:55,20:26:00,18605,18610,39,18609,18610,564
20:26:05,20:29:35,18610,18615,169,18608,18610,566
20:29:40,20:32:10,18610,18605,148,18607,18605,433
20:32:15,20:33:30,18605,18600,66,18606,18605,431
20:33:35,20:36:40,18605,18610,154,18608,18610,564
20:37:05,20:41:55,18610,18615,249,18609,18610,566
20:42:10,20:46:00,18610,18605,200,18607,18605,433
20:46:05,20:59:05,18610,18615,465,18609,18610,566
20:59:10,21:00:45,18610,18605,110,18610,18610,433
21:00:50,21:07:10,18605,18600,332,18608,18605,431
21:07:15,21:07:20,18600,18595,34,18604,18605,428
21:07:25,21:10:15,18595,18590,230,18601,18600,425
21:10:20,21:12:15,18595,18600,82,18598,18600,559
21:12:25,21:13:20,18600,18605,51,18598,18600,561
21:13:25,21:15:50,18605,18610,200,18600,18600,564
21:15:55,21:30:25,18610,18615,431,18604,18605,566
21:30:30,21:34:05,18615,18620,335,18610,18610,569
21:30:30,21:34:05,18620,18625,0,18615,18615,572
21:34:10,21:34:25,18620,18615,92,18617,18615,438
21:34:30,21:34:55,18615,18610,27,18617,18615,436
21:35:00,21:35:00,18610,18605,18,18615,18615,433
21:35:05,21:36:50,18605,18600,253,18611,18610,431
21:35:05,21:36:50,18600,18595,0,18605,18605,428
21:36:55,21:44:50,18600,18605,597,18603,18605,561
21:36:55,21:44:50,18605,18610,0,18603,18605,564
21:44:55,21:52:35,18605,18600,280,18602,18600,431
21:52:45,21:57:40,18605,18610,132,18604,18605,564
21:57:45,21:59:25,18605,18600,70,18605,18605,431
21:59:30,22:00:45,18605,18610,61,18606,18610,564
22:00:50,22:16:20,18610,18615,722,18607,18610,566
22:00:50,22:16:20,18615,18620,0,18611,18610,569
22:16:25,22:19:50,18620,18625,156,18614,18615,572
22:19:55,22:26:15,18625,18630,184,18620,18620,574
22:26:20,22:30:15,18630,18635,227,18625,18625,577
22:30:20,22:35:55,18635,18640,231,18630,18630,580
22:36:05,22:39:00,18640,18645,122,18635,18635,582
22:39:05,22:40:30,18645,18650,135,18640,18640,585
