Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total,Moving Average,Median,Linear Regression
8/9/2024 4:26:10,8/9/2024 4:27:00,18580,18585,162,18578,18580,476
8/9/2024 4:27:05,8/9/2024 4:30:00,18585,18590,312,18580,18580,477
8/9/2024 4:30:05,8/9/2024 4:31:00,18590,18595,160,18584,18585,479
8/9/2024 4:31:05,8/9/2024 4:31:05,18595,18600,174,18590,18590,481
8/9/2024 4:31:10,8/9/2024 4:31:25,18600,18605,130,18595,18595,482
8/9/2024 4:31:30,8/9/2024 4:31:40,18605,18610,158,18600,18600,484
8/9/2024 4:31:45,8/9/2024 4:32:25,18610,18615,158,18605,18605,486
8/9/2024 4:32:30,8/9/2024 4:33:40,18615,18625,556,18611,18610,492
8/9/2024 4:33:45,8/9/2024 4:34:30,18620,18615,140,18614,18615,480
8/9/2024 4:34:35,8/9/2024 4:34:35,18620,18625,35,18618,18615,489
8/9/2024 4:34:40,8/9/2024 4:35:10,18625,18630,230,18622,18625,491
8/9/2024 4:35:15,8/9/2024 4:35:15,18630,18635,16,18626,18625,493
8/9/2024 4:35:20,8/9/2024 4:39:30,18635,18640,1109,18629,18630,494
8/9/2024 4:39:35,8/9/2024 4:40:20,18640,18645,171,18635,18635,496
8/9/2024 4:40:25,8/9/2024 4:43:50,18640,18635,379,18637,18635,487
8/9/2024 4:43:55,8/9/2024 4:43:55,18640,18645,28,18640,18640,496
8/9/2024 4:44:00,8/9/2024 4:46:00,18645,18650,334,18643,18645,498
8/9/2024 4:46:05,8/9/2024 4:46:35,18645,18640,137,18643,18645,489
8/9/2024 4:46:40,8/9/2024 4:47:10,18640,18635,46,18641,18640,487
8/9/2024 4:47:15,8/9/2024 4:50:55,18635,18630,434,18640,18640,486
8/9/2024 4:51:00,8/9/2024 4:55:00,18635,18640,354,18639,18640,494
8/9/2024 4:55:05,8/9/2024 4:56:40,18640,18645,195,18638,18640,496
8/9/2024 4:56:50,8/9/2024 5:00:05,18640,18630,514,18636,18635,483
8/9/2024 5:00:10,8/9/2024 5:02:05,18635,18640,135,18637,18640,494
8/9/2024 5:02:10,8/9/2024 5:05:15,18635,18630,272,18637,18640,486
8/9/2024 5:05:25,8/9/2024 5:06:45,18635,18640,104,18637,18640,494
8/9/2024 5:06:50,8/9/2024 5:07:20,18635,18630,53,18634,18630,486
8/9/2024 5:07:25,8/9/2024 5:08:35,18630,18625,225,18633,18630,484
8/9/2024 5:08:40,8/9/2024 5:11:25,18630,18635,186,18632,18630,493
8/9/2024 5:11:30,8/9/2024 5:11:45,18635,18640,24,18634,18635,494
8/9/2024 5:11:50,8/9/2024 5:12:10,18640,18645,107,18635,18635,496
8/9/2024 5:12:15,8/9/2024 5:12:25,18640,18635,27,18636,18635,487
8/9/2024 5:12:30,8/9/2024 5:16:40,18635,18630,265,18637,18635,486
8/9/2024 5:16:45,8/9/2024 5:20:55,18635,18645,440,18639,18640,499
8/9/2024 5:21:00,8/9/2024 5:21:50,18640,18635,146,18638,18635,487
8/9/2024 5:21:55,8/9/2024 5:29:10,18635,18630,378,18635,18635,486
8/9/2024 5:29:15,8/9/2024 5:29:35,18630,18625,157,18633,18630,484
8/9/2024 5:29:40,8/9/2024 5:33:10,18625,18620,673,18631,18630,482
8/9/2024 5:33:15,8/9/2024 5:34:10,18620,18615,323,18625,18625,480
8/9/2024 5:34:15,8/9/2024 5:39:00,18615,18610,495,18620,18620,479
8/9/2024 5:39:05,8/9/2024 5:41:25,18615,18620,160,18618,18620,488
8/9/2024 5:41:40,8/9/2024 5:44:20,18615,18610,261,18615,18615,479
8/9/2024 5:44:25,8/9/2024 5:45:55,18610,18605,319,18612,18610,477
8/9/2024 5:46:00,8/9/2024 5:47:05,18605,18600,100,18609,18610,475
8/9/2024 5:47:10,8/9/2024 5:47:15,18600,18595,129,18606,18605,474
8/9/2024 5:47:20,8/9/2024 5:50:35,18595,18590,621,18600,18600,472
8/9/2024 5:50:40,8/9/2024 5:52:50,18595,18600,382,18598,18600,481
8/9/2024 5:52:55,8/9/2024 5:52:55,18600,18605,96,18598,18600,482
8/9/2024 5:53:00,8/9/2024 5:53:00,18605,18610,54,18600,18600,484
8/9/2024 5:53:05,8/9/2024 5:55:10,18610,18615,341,18604,18605,486
8/9/2024 5:55:15,8/9/2024 6:00:10,18615,18620,448,18610,18610,488
8/9/2024 6:00:15,8/9/2024 6:00:35,18615,18610,49,18612,18610,479
8/9/2024 6:00:40,8/9/2024 6:02:10,18610,18605,154,18612,18610,477
8/9/2024 6:02:15,8/9/2024 6:03:20,18605,18595,175,18609,18610,471
8/9/2024 6:03:25,8/9/2024 6:04:35,18595,18590,171,18604,18605,472
8/9/2024 6:04:40,8/9/2024 6:07:50,18590,18585,300,18597,18595,470
8/9/2024 6:07:55,8/9/2024 6:07:55,18585,18580,25,18591,18590,468
8/9/2024 6:08:00,8/9/2024 6:08:20,18580,18575,154,18585,18585,467
8/9/2024 6:08:25,8/9/2024 6:08:35,18575,18565,137,18579,18580,461
8/9/2024 6:08:40,8/9/2024 6:09:30,18565,18560,215,18573,18575,462
8/9/2024 6:09:35,8/9/2024 6:11:50,18565,18570,260,18570,18570,470
8/9/2024 6:11:55,8/9/2024 6:12:15,18570,18575,67,18569,18570,472
8/9/2024 6:12:20,8/9/2024 6:14:05,18575,18580,277,18570,18570,474
8/9/2024 6:14:10,8/9/2024 6:14:45,18575,18570,67,18571,18570,465
8/9/2024 6:14:55,8/9/2024 6:16:50,18575,18580,193,18575,18575,474
8/9/2024 6:16:55,8/9/2024 6:19:35,18575,18570,284,18575,18575,465
8/9/2024 6:19:40,8/9/2024 6:19:40,18570,18565,21,18573,18570,463
8/9/2024 6:19:45,8/9/2024 6:19:45,18565,18560,77,18569,18570,462
8/9/2024 6:19:50,8/9/2024 6:21:30,18560,18555,409,18566,18565,460
8/9/2024 6:21:35,8/9/2024 6:22:40,18560,18565,130,18563,18565,469
8/9/2024 6:22:45,8/9/2024 6:23:50,18565,18570,126,18563,18565,470
8/9/2024 6:23:55,8/9/2024 6:28:10,18570,18575,250,18565,18565,472
8/9/2024 6:28:15,8/9/2024 6:29:25,18575,18580,135,18569,18570,474
8/9/2024 6:29:30,8/9/2024 6:32:20,18580,18585,303,18575,18575,476
8/9/2024 6:32:25,8/9/2024 6:34:30,18585,18590,176,18580,18580,477
8/9/2024 6:34:35,8/9/2024 6:36:55,18585,18580,115,18582,18580,468
8/9/2024 6:37:00,8/9/2024 6:39:45,18580,18575,183,18582,18580,467
8/9/2024 6:39:50,8/9/2024 6:42:35,18575,18570,277,18580,18580,465
8/9/2024 6:42:45,8/9/2024 6:45:45,18570,18565,395,18576,18575,463
8/9/2024 6:45:50,8/9/2024 6:47:25,18570,18575,229,18573,18575,472
8/9/2024 6:47:30,8/9/2024 6:53:55,18570,18565,692,18570,18570,463
8/9/2024 6:54:05,8/9/2024 6:56:15,18570,18575,230,18570,18570,472
8/9/2024 6:56:20,8/9/2024 7:00:10,18570,18565,674,18569,18565,463
8/9/2024 7:00:15,8/9/2024 7:00:20,18570,18575,22,18571,18575,472
8/9/2024 7:00:25,8/9/2024 7:03:45,18575,18580,582,18572,18575,474
8/9/2024 7:03:50,8/9/2024 7:05:30,18580,18585,230,18576,18575,476
8/9/2024 7:05:35,8/9/2024 7:05:55,18585,18590,42,18579,18580,477
8/9/2024 7:06:00,8/9/2024 7:07:15,18590,18595,184,18585,18585,479
8/9/2024 7:07:20,8/9/2024 7:08:25,18590,18585,94,18587,18585,470
8/9/2024 7:08:30,8/9/2024 7:17:20,18585,18580,700,18587,18585,468
8/9/2024 7:17:25,8/9/2024 7:17:35,18585,18590,46,18588,18590,477
8/9/2024 7:17:40,8/9/2024 7:19:50,18590,18595,270,18589,18590,479
8/9/2024 7:19:55,8/9/2024 7:23:05,18590,18585,234,18587,18585,470
8/9/2024 7:23:10,8/9/2024 7:23:35,18585,18580,79,18586,18585,468
8/9/2024 7:23:40,8/9/2024 7:23:45,18580,18575,23,18585,18585,467
8/9/2024 7:23:50,8/9/2024 7:24:20,18575,18570,142,18581,18580,465
8/9/2024 7:24:25,8/9/2024 7:26:10,18570,18565,532,18575,18575,463
8/9/2024 7:26:15,8/9/2024 7:26:15,18565,18550,349,18568,18570,453
8/9/2024 7:26:20,8/9/2024 7:26:30,18550,18545,91,18561,18565,457
8/9/2024 7:26:35,8/9/2024 7:26:55,18545,18540,246,18554,18550,455
