Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total,Moving Average,Median,Linear Regression
8/4/2024 19:01:25,8/4/2024 19:01:25,18350,18345,19,18351,18350,388
8/4/2024 19:01:30,8/4/2024 19:02:30,18345,18335,514,18346,18345,382
8/4/2024 19:02:35,8/4/2024 19:02:45,18335,18330,70,18342,18345,383
8/4/2024 19:02:50,8/4/2024 19:03:50,18330,18325,137,18338,18335,381
8/4/2024 19:03:55,8/4/2024 19:04:00,18325,18315,90,18330,18330,375
8/4/2024 19:04:05,8/4/2024 19:04:10,18320,18325,31,18326,18325,387
8/4/2024 19:04:15,8/4/2024 19:04:40,18325,18330,101,18325,18325,389
8/4/2024 19:04:45,8/4/2024 19:04:50,18325,18320,44,18323,18325,380
8/4/2024 19:04:55,8/4/2024 19:06:15,18320,18315,220,18321,18320,378
8/4/2024 19:06:20,8/4/2024 19:08:05,18320,18325,128,18323,18325,387
8/4/2024 19:08:10,8/4/2024 19:10:05,18325,18330,139,18324,18325,389
8/4/2024 19:10:10,8/4/2024 19:10:45,18325,18320,121,18322,18320,380
8/4/2024 19:10:50,8/4/2024 19:11:15,18320,18315,242,18321,18320,378
8/4/2024 19:11:20,8/4/2024 19:13:05,18320,18330,419,18324,18325,391
8/4/2024 19:13:10,8/4/2024 19:15:35,18325,18320,357,18323,18320,380
8/4/2024 19:15:40,8/4/2024 19:18:10,18320,18315,231,18320,18320,378
8/4/2024 19:18:15,8/4/2024 19:19:00,18320,18325,132,18321,18320,387
8/4/2024 19:19:05,8/4/2024 19:20:15,18325,18330,110,18324,18325,389
8/4/2024 19:20:20,8/4/2024 19:21:40,18325,18320,132,18322,18320,380
8/4/2024 19:21:45,8/4/2024 19:23:25,18325,18330,88,18324,18325,389
8/4/2024 19:23:30,8/4/2024 19:23:40,18325,18310,123,18323,18325,371
8/4/2024 19:23:45,8/4/2024 19:24:05,18310,18295,135,18317,18320,366
8/4/2024 19:24:10,8/4/2024 19:24:10,18295,18285,132,18308,18310,365
8/4/2024 19:24:15,8/4/2024 19:24:15,18285,18280,52,18300,18295,366
8/4/2024 19:24:20,8/4/2024 19:24:30,18280,18275,74,18289,18285,364
8/4/2024 19:24:35,8/4/2024 19:24:40,18280,18285,38,18284,18285,373
8/4/2024 19:24:45,8/4/2024 19:24:50,18285,18290,43,18283,18285,375
8/4/2024 19:24:55,8/4/2024 19:26:55,18290,18295,347,18285,18285,377
8/4/2024 19:27:00,8/4/2024 19:28:50,18295,18300,176,18289,18290,378
8/4/2024 19:28:55,8/4/2024 19:29:40,18300,18305,54,18295,18295,380
