Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total,Moving Average,Median,Linear Regression
8/11/2024 18:00:05,8/11/2024 18:00:20,18595,18590,218,0,0,526
8/11/2024 18:00:25,8/11/2024 18:00:45,18595,18605,246,0,0,659
8/11/2024 18:00:50,8/11/2024 18:00:50,18605,18610,53,0,0,620
8/11/2024 18:00:55,8/11/2024 18:00:55,18610,18620,69,0,0,667
8/11/2024 20:10:40,8/11/2024 20:11:10,18605,18610,96,18608,18610,620
8/11/2024 20:11:15,8/11/2024 20:11:15,18605,18600,1,18605,18605,532
8/11/2024 20:11:20,8/11/2024 20:15:30,18600,18595,323,18602,18600,529
8/11/2024 20:15:35,8/11/2024 20:16:20,18600,18605,93,18602,18600,617
8/11/2024 20:16:25,8/11/2024 20:17:40,18605,18610,123,18604,18605,620
8/11/2024 20:17:45,8/11/2024 20:18:40,18610,18615,72,18605,18605,623
8/11/2024 20:18:45,8/11/2024 20:20:40,18615,18620,118,18609,18610,626
8/11/2024 20:20:50,8/11/2024 20:21:40,18615,18610,210,18612,18610,537
8/11/2024 20:21:45,8/11/2024 20:21:50,18610,18605,41,18612,18610,535
8/11/2024 20:21:55,8/11/2024 20:25:30,18605,18600,143,18610,18610,532
8/11/2024 20:25:55,8/11/2024 20:26:00,18605,18610,39,18609,18610,620
8/11/2024 20:26:05,8/11/2024 20:29:35,18610,18615,169,18608,18610,623
8/11/2024 20:29:40,8/11/2024 20:32:10,18610,18605,148,18607,18605,535
8/11/2024 20:32:15,8/11/2024 20:33:30,18605,18600,66,18606,18605,532
8/11/2024 20:33:35,8/11/2024 20:36:40,18605,18610,154,18608,18610,620
8/11/2024 20:37:05,8/11/2024 20:41:55,18610,18615,249,18609,18610,623
8/11/2024 20:42:10,8/11/2024 20:46:00,18610,18605,200,18607,18605,535
8/11/2024 20:46:05,8/11/2024 20:59:05,18610,18615,465,18609,18610,623
8/11/2024 20:59:10,8/11/2024 21:00:45,18610,18605,110,18610,18610,535
