Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total
8/11/2024 18:58:40,8/11/2024 18:59:30,18600,18605,99
8/11/2024 18:59:40,8/11/2024 19:01:25,18600,18595,126
8/11/2024 19:01:30,8/11/2024 19:03:05,18600,18605,116
8/11/2024 19:03:10,8/11/2024 19:03:10,18605,18610,88
8/11/2024 19:03:15,8/11/2024 19:04:15,18610,18615,194
8/11/2024 19:04:20,8/11/2024 19:05:50,18615,18620,218
8/11/2024 19:05:55,8/11/2024 19:10:30,18615,18610,265
8/11/2024 19:10:35,8/11/2024 19:13:40,18615,18620,130
8/11/2024 19:13:45,8/11/2024 19:16:00,18615,18610,97
8/11/2024 19:16:05,8/11/2024 19:32:25,18610,18605,639
8/11/2024 19:32:30,8/11/2024 19:33:35,18610,18615,80
8/11/2024 19:33:40,8/11/2024 19:37:25,18615,18620,212
8/11/2024 19:37:30,8/11/2024 19:37:30,18615,18610,6
8/11/2024 19:37:35,8/11/2024 19:41:00,18610,18605,189
8/11/2024 19:41:05,8/11/2024 19:42:25,18605,18600,274
8/11/2024 19:41:05,8/11/2024 19:42:25,18600,18595,0
8/11/2024 19:41:05,8/11/2024 19:42:25,18595,18590,0
8/11/2024 19:42:35,8/11/2024 19:42:40,18595,18600,19
8/11/2024 19:42:45,8/11/2024 19:42:45,18600,18605,9
8/11/2024 19:42:50,8/11/2024 19:43:00,18605,18610,67
8/11/2024 19:43:05,8/11/2024 19:44:45,18610,18615,132
8/11/2024 19:44:50,8/11/2024 19:44:50,18610,18605,39
8/11/2024 19:44:55,8/11/2024 19:46:45,18605,18600,116
8/11/2024 19:46:55,8/11/2024 19:47:10,18605,18610,26
8/11/2024 19:47:15,8/11/2024 19:47:15,18610,18615,26
8/11/2024 19:47:20,8/11/2024 19:47:20,18615,18620,40
8/11/2024 19:47:25,8/11/2024 19:47:35,18620,18625,93
8/11/2024 19:47:40,8/11/2024 19:48:25,18625,18630,86
8/11/2024 19:48:30,8/11/2024 19:49:15,18630,18635,166
8/11/2024 19:48:30,8/11/2024 19:49:15,18635,18640,0
8/11/2024 19:49:20,8/11/2024 19:50:45,18635,18630,121
8/11/2024 19:50:50,8/11/2024 19:55:20,18630,18625,219
8/11/2024 19:55:25,8/11/2024 20:00:05,18630,18635,250
8/11/2024 20:00:10,8/11/2024 20:01:20,18630,18625,78
8/11/2024 20:01:30,8/11/2024 20:01:35,18625,18620,46
8/11/2024 20:01:40,8/11/2024 20:02:15,18620,18615,73
8/11/2024 20:02:20,8/11/2024 20:02:25,18615,18610,43
8/11/2024 20:02:30,8/11/2024 20:04:40,18610,18605,247
8/11/2024 20:04:45,8/11/2024 20:10:35,18605,18600,435
8/11/2024 20:10:40,8/11/2024 20:11:10,18605,18610,96
8/11/2024 20:11:15,8/11/2024 20:11:15,18605,18600,1
8/11/2024 20:11:20,8/11/2024 20:15:30,18600,18595,323
8/11/2024 20:15:35,8/11/2024 20:16:20,18600,18605,93
8/11/2024 20:16:25,8/11/2024 20:17:40,18605,18610,123
8/11/2024 20:17:45,8/11/2024 20:18:40,18610,18615,72
8/11/2024 20:18:45,8/11/2024 20:20:40,18615,18620,118
8/11/2024 20:20:50,8/11/2024 20:21:40,18615,18610,210
8/11/2024 20:21:45,8/11/2024 20:21:50,18610,18605,41
8/11/2024 20:21:55,8/11/2024 20:25:30,18605,18600,143
8/11/2024 20:25:55,8/11/2024 20:26:00,18605,18610,39
8/11/2024 20:26:05,8/11/2024 20:29:35,18610,18615,169
8/11/2024 20:29:40,8/11/2024 20:32:10,18610,18605,148
8/11/2024 20:32:15,8/11/2024 20:33:30,18605,18600,66
8/11/2024 20:33:35,8/11/2024 20:36:40,18605,18610,154
8/11/2024 20:37:05,8/11/2024 20:41:55,18610,18615,249
8/11/2024 20:42:10,8/11/2024 20:46:00,18610,18605,200
8/11/2024 20:46:05,8/11/2024 20:59:05,18610,18615,465
8/11/2024 20:59:10,8/11/2024 21:00:45,18610,18605,110
8/11/2024 21:00:50,8/11/2024 21:07:10,18605,18600,332
8/11/2024 21:07:15,8/11/2024 21:07:20,18600,18595,34
8/11/2024 21:07:25,8/11/2024 21:10:15,18595,18590,230
8/11/2024 21:10:20,8/11/2024 21:12:15,18595,18600,82
8/11/2024 21:12:25,8/11/2024 21:13:20,18600,18605,51
8/11/2024 21:13:25,8/11/2024 21:15:50,18605,18610,200
8/11/2024 21:15:55,8/11/2024 21:30:25,18610,18615,431
8/11/2024 21:30:30,8/11/2024 21:34:05,18615,18620,335
8/11/2024 21:30:30,8/11/2024 21:34:05,18620,18625,0
8/11/2024 21:34:10,8/11/2024 21:34:25,18620,18615,92
8/11/2024 21:34:30,8/11/2024 21:34:55,18615,18610,27
8/11/2024 21:35:00,8/11/2024 21:35:00,18610,18605,18
8/11/2024 21:35:05,8/11/2024 21:36:50,18605,18600,253
8/11/2024 21:35:05,8/11/2024 21:36:50,18600,18595,0
8/11/2024 21:36:55,8/11/2024 21:44:50,18600,18605,597
8/11/2024 21:36:55,8/11/2024 21:44:50,18605,18610,0
8/11/2024 21:44:55,8/11/2024 21:52:35,18605,18600,280
8/11/2024 21:52:45,8/11/2024 21:57:40,18605,18610,132
8/11/2024 21:57:45,8/11/2024 21:59:25,18605,18600,70
8/11/2024 21:59:30,8/11/2024 22:00:45,18605,18610,61
8/11/2024 22:00:50,8/11/2024 22:16:20,18610,18615,722
8/11/2024 22:00:50,8/11/2024 22:16:20,18615,18620,0
