"Date","Time","Open","High","Low","Close","Up","Down","Renko SMA","Volume"
08/11/2024,18:03:10,18627.00,18631.50,18627.00,18630.75,9,2,18630.00,11.00
08/11/2024,18:03:15,18631.25,18633.50,18631.25,18632.00,5,3,18630.00,8.00
08/11/2024,18:03:20,18632.25,18632.25,18627.75,18628.00,6,7,18630.00,13.00
08/11/2024,18:03:25,18627.75,18628.75,18627.00,18627.25,3,8,18630.00,11.00
08/11/2024,18:03:30,18627.25,18627.50,18620.00,18625.00,10,18,18625.00,28.00
08/11/2024,18:03:35,18624.75,18627.00,18624.50,18627.00,7,5,18625.00,12.00
08/11/2024,18:03:40,18626.50,18627.25,18624.75,18625.00,6,11,18625.00,17.00
08/11/2024,18:03:45,18626.00,18629.50,18626.00,18629.50,10,2,18625.00,12.00
08/11/2024,18:03:50,18627.25,18627.25,18625.25,18625.25,1,5,18625.00,6.00
08/11/2024,18:03:55,18625.25,18630.00,18625.25,18630.00,6,1,18625.00,7.00
08/11/2024,18:04:00,18631.00,18632.00,18628.00,18629.50,4,3,18625.00,7.00
08/11/2024,18:04:05,18630.50,18644.75,18630.50,18638.25,72,34,18635.00,106.00
08/11/2024,18:04:10,18641.25,18642.50,18637.00,18642.50,7,10,18640.00,17.00
08/11/2024,18:04:15,18640.75,18645.00,18640.75,18645.00,12,3,18645.00,15.00
08/11/2024,18:04:20,18645.00,18650.50,18643.75,18650.50,36,13,18650.00,49.00
08/11/2024,18:04:25,18648.75,18650.50,18643.00,18643.00,7,36,18650.00,43.00
08/11/2024,18:04:30,18643.75,18647.75,18643.00,18646.75,20,6,18650.00,26.00
08/11/2024,18:04:35,18647.00,18652.50,18646.50,18649.00,12,3,18650.00,15.00
08/11/2024,18:04:40,18649.25,18649.75,18649.25,18649.25,2,1,18650.00,3.00
08/11/2024,18:04:45,18647.50,18647.50,18646.75,18647.50,1,2,18650.00,3.00
08/11/2024,18:04:50,18647.75,18650.00,18645.75,18645.75,13,5,18650.00,18.00
08/11/2024,18:04:55,18649.00,18649.00,18646.00,18646.00,1,1,18650.00,2.00
08/11/2024,18:05:00,18648.00,18649.25,18646.25,18649.25,5,1,18650.00,6.00
08/11/2024,18:05:05,18649.50,18658.00,18649.25,18655.75,41,15,18655.00,56.00
08/11/2024,18:05:10,18657.25,18658.00,18653.75,18655.75,5,8,18655.00,13.00
08/11/2024,18:05:15,18655.75,18657.25,18655.75,18657.25,4,0,18655.00,4.00
08/11/2024,18:05:20,18655.75,18657.00,18654.00,18654.00,2,13,18655.00,15.00
08/11/2024,18:05:25,18654.00,18656.75,18654.00,18655.00,5,6,18655.00,11.00
08/11/2024,18:05:30,18656.50,18659.00,18656.50,18659.00,15,2,18655.00,17.00
08/11/2024,18:05:35,18658.00,18659.00,18656.50,18657.75,2,6,18655.00,8.00
08/11/2024,18:05:40,18655.25,18657.50,18654.25,18654.25,1,7,18655.00,8.00
08/11/2024,18:05:45,18654.50,18655.00,18654.50,18655.00,2,0,18655.00,2.00
08/11/2024,18:05:50,18654.25,18654.25,18653.50,18654.25,5,3,18655.00,8.00
08/11/2024,18:05:55,18653.50,18653.50,18652.25,18652.25,0,4,18655.00,4.00
08/11/2024,18:06:00,18653.75,18654.00,18652.25,18654.00,6,5,18655.00,11.00
