Time_Start,Time_End,Renko_Open,Renko_Close,Volume,Moving_Average,Median
03/05/2024 10:50:00,03/05/2024 10:56:30,18440,18430,15017,18450,18450
03/05/2024 10:57:00,03/05/2024 11:11:30,18440,18450,22208,18446,18450
03/05/2024 11:12:00,03/05/2024 11:17:00,18440,18430,7778,18440,18440
03/05/2024 11:17:30,03/05/2024 11:19:30,18440,18450,4063,18440,18440
03/05/2024 11:20:00,03/05/2024 11:22:30,18450,18460,4673,18444,18450
03/05/2024 11:23:00,03/05/2024 11:36:30,18460,18470,14955,18452,18450
03/05/2024 11:37:00,03/05/2024 11:38:30,18460,18450,2643,18452,18450
03/05/2024 11:39:00,03/05/2024 11:43:30,18450,18440,6041,18454,18450
03/05/2024 11:44:00,03/05/2024 12:00:00,18440,18430,24271,18450,18450
03/05/2024 12:00:30,03/05/2024 12:06:30,18440,18450,6971,18448,18450
03/05/2024 12:07:00,03/05/2024 12:24:30,18450,18460,16089,18446,18450
03/05/2024 12:25:00,03/05/2024 12:26:30,18460,18470,2989,18450,18450
03/05/2024 12:27:00,03/05/2024 12:40:00,18470,18480,11321,18458,18460
03/05/2024 12:40:30,03/05/2024 13:02:30,18470,18460,20724,18464,18460
03/05/2024 13:03:00,03/05/2024 13:18:00,18460,18450,13840,18464,18460
03/05/2024 13:18:30,03/05/2024 13:22:00,18450,18440,4553,18460,18460
03/05/2024 13:22:30,03/05/2024 13:37:00,18440,18430,14479,18452,18450
03/05/2024 13:37:30,03/05/2024 13:43:00,18430,18420,8760,18440,18440
03/05/2024 13:43:30,03/05/2024 13:44:00,18420,18410,1398,18430,18430
03/05/2024 13:44:30,03/05/2024 13:59:30,18410,18400,20502,18420,18420
03/05/2024 14:00:00,03/05/2024 14:09:00,18400,18390,10694,18410,18410
03/05/2024 14:09:30,03/05/2024 14:16:00,18400,18410,6936,18406,18410
03/05/2024 14:16:30,03/05/2024 14:19:00,18410,18420,3260,18406,18410
03/05/2024 14:19:30,03/05/2024 14:33:00,18410,18400,14636,18404,18400
03/05/2024 14:33:30,03/05/2024 14:38:00,18400,18390,5128,18402,18400
