Time_Start,Time_End,Renko_Open,Renko_Close,Volume,Indicator_1
02/02/2024 04:39,02/02/2024 07:24,18130,18120,18768,17901.25
02/02/2024 07:25,02/02/2024 07:27,18130,18140,1190,17901.63
02/02/2024 07:28,02/02/2024 07:52,18140,18150,4433,17903.08
02/02/2024 07:53,02/02/2024 08:25,18140,18130,8249,17905.58
02/02/2024 08:26,02/02/2024 08:30,18130,18120,1698,17906.07
02/02/2024 08:31,02/02/2024 08:36,18050,18040,16177,17908.93
02/02/2024 08:37,02/02/2024 08:40,18040,18030,5414,17909.79
02/02/2024 08:41,02/02/2024 08:41,18040,18050,1405,17910.04
02/02/2024 08:42,02/02/2024 08:43,18050,18060,3169,17910.63
02/02/2024 08:44,02/02/2024 08:47,18060,18070,4437,17911.5
02/02/2024 08:48,02/02/2024 08:49,18060,18050,1727,17911.81
02/02/2024 08:50,02/02/2024 08:54,18050,18040,3553,17912.4
02/02/2024 08:55,02/02/2024 08:56,18040,18030,2396,17912.76
02/02/2024 08:57,02/02/2024 08:57,18020,18010,2443,17913.07
02/02/2024 08:58,02/02/2024 09:06,18010,18000,9738,17914.16
02/02/2024 09:07,02/02/2024 09:24,18010,18020,12055,17915.66
02/02/2024 09:25,02/02/2024 09:32,18010,18000,16152,17917.35
02/02/2024 09:33,02/02/2024 09:34,18000,17990,8981,17918.15
02/02/2024 09:35,02/02/2024 09:35,18010,18020,4469,17918.67
02/02/2024 09:36,02/02/2024 09:36,18020,18030,4320,17919.21
02/02/2024 09:37,02/02/2024 09:37,18030,18040,3399,17919.68
02/02/2024 09:38,02/02/2024 09:38,18040,18050,4378,17920.32
02/02/2024 09:39,02/02/2024 09:42,18050,18060,13705,17922.45
02/02/2024 09:43,02/02/2024 09:44,18060,18070,6477,17923.51
02/02/2024 09:45,02/02/2024 09:45,18070,18080,3049,17924.03
02/02/2024 09:46,02/02/2024 09:46,18090,18100,5725,17925.14
02/02/2024 09:47,02/02/2024 09:47,18100,18110,3543,17925.86
02/02/2024 09:48,02/02/2024 09:49,18110,18120,7381,17927.42
02/02/2024 09:50,02/02/2024 09:50,18110,18100,3610,17928.12
02/02/2024 09:51,02/02/2024 09:53,18100,18090,9413,17929.81
02/02/2024 09:54,02/02/2024 09:56,18090,18080,6554,17930.9
02/02/2024 09:57,02/02/2024 09:57,18090,18100,2989,17931.44
02/02/2024 09:58,02/02/2024 10:02,18100,18110,8823,17933.09
02/02/2024 10:03,02/02/2024 10:04,18110,18120,4392,17933.95
02/02/2024 10:05,02/02/2024 10:09,18110,18100,9634,17935.67
02/02/2024 10:10,02/02/2024 10:16,18100,18090,14184,17937.99
02/02/2024 10:17,02/02/2024 10:24,18100,18110,13961,17940.4
02/02/2024 10:25,02/02/2024 10:26,18110,18120,5663,17941.41
02/02/2024 10:27,02/02/2024 10:31,18110,18100,9620,17942.98
02/02/2024 10:32,02/02/2024 10:32,18090,18080,3237,17943.44
02/02/2024 10:33,02/02/2024 10:34,18080,18070,5293,17944.12
02/02/2024 10:35,02/02/2024 10:38,18080,18090,6905,17945.1
02/02/2024 10:39,02/02/2024 10:39,18090,18100,2703,17945.51
02/02/2024 10:40,02/02/2024 10:40,18110,18120,2676,17945.96
02/02/2024 10:41,02/02/2024 10:42,18120,18130,5950,17947.01
02/02/2024 10:43,02/02/2024 10:43,18140,18150,3288,17947.65
02/02/2024 10:44,02/02/2024 10:57,18150,18160,24553,17952.55
02/02/2024 10:58,02/02/2024 11:01,18160,18170,5999,17953.77
02/02/2024 11:02,02/02/2024 11:02,18150,18140,2296,17954.19
02/02/2024 11:03,02/02/2024 11:10,18140,18130,11417,17956.1
02/02/2024 11:11,02/02/2024 11:12,18140,18150,1968,17956.45
02/02/2024 11:13,02/02/2024 11:28,18150,18160,17027,17959.59
02/02/2024 11:29,02/02/2024 11:29,18160,18170,1305,17959.84
02/02/2024 11:30,02/02/2024 11:30,18170,18180,3001,17960.44
02/02/2024 11:31,02/02/2024 11:39,18180,18190,11760,17962.85
02/02/2024 11:40,02/02/2024 11:45,18190,18200,6441,17964.21
02/02/2024 11:46,02/02/2024 11:51,18200,18210,7154,17965.76
02/02/2024 11:52,02/02/2024 12:19,18210,18220,27450,17971.79
02/02/2024 12:20,02/02/2024 12:28,18220,18230,8445,17973.66
02/02/2024 12:29,02/02/2024 12:31,18240,18250,7047,17975.32
02/02/2024 12:32,02/02/2024 12:43,18250,18260,11008,17977.97
02/02/2024 12:44,02/02/2024 12:44,18250,18240,3080,17978.66
02/02/2024 12:45,02/02/2024 12:45,18210,18200,5755,17979.76
02/02/2024 12:46,02/02/2024 12:51,18200,18190,16769,17982.76
02/02/2024 12:52,02/02/2024 12:58,18190,18180,8443,17984.16
02/02/2024 12:59,02/02/2024 12:59,18190,18200,1128,17984.36
02/02/2024 13:00,02/02/2024 13:01,18210,18220,4389,17985.21
02/02/2024 13:02,02/02/2024 13:06,18220,18230,6137,17986.43
02/02/2024 13:07,02/02/2024 13:26,18230,18240,22869,17991.05
02/02/2024 13:27,02/02/2024 13:45,18220,18210,22684,17995.05
02/02/2024 13:46,02/02/2024 13:50,18220,18230,5029,17995.97
02/02/2024 13:51,02/02/2024 14:02,18230,18240,8062,17997.49
02/02/2024 14:03,02/02/2024 14:11,18240,18250,7776,17999.0
02/02/2024 14:12,02/02/2024 14:15,18250,18260,4320,17999.87
02/02/2024 14:16,02/02/2024 14:41,18260,18270,23972,18004.75
02/02/2024 14:42,02/02/2024 14:55,18270,18280,13472,18007.52
02/02/2024 14:56,02/02/2024 15:10,18270,18260,11935,18009.8
02/02/2024 15:11,02/02/2024 15:23,18270,18280,8805,18011.55
02/02/2024 15:24,02/02/2024 15:27,18260,18250,4884,18012.43
02/02/2024 15:28,02/02/2024 15:59,18260,18270,39027,18019.57
02/02/2024 16:00,02/02/2024 16:00,18260,18250,9932,18021.23
02/02/2024 16:01,02/02/2024 16:01,18240,18230,6177,18022.17
02/02/2024 16:02,02/02/2024 16:39,18230,18220,10702,18023.69
02/02/2024 16:40,02/02/2024 16:57,18220,18210,3006,18024.09
02/02/2024 16:58,02/02/2024 17:00,18210,18200,697,18024.18
02/04/2024 18:01,02/04/2024 18:05,18210,18220,1443,18024.37
02/04/2024 18:06,02/04/2024 19:00,18220,18230,4561,18025.02
02/04/2024 19:01,02/04/2024 19:07,18220,18210,2895,18025.4
02/04/2024 19:08,02/04/2024 19:21,18220,18230,2876,18025.81
02/04/2024 19:22,02/04/2024 19:31,18220,18210,2144,18026.09
02/04/2024 19:32,02/04/2024 19:45,18210,18200,2003,18026.34
02/04/2024 19:46,02/04/2024 20:16,18200,18190,4107,18026.81
02/04/2024 20:17,02/05/2024 00:16,18190,18180,13678,18028.29
02/05/2024 00:17,02/05/2024 01:09,18190,18200,3777,18028.72
02/05/2024 01:10,02/05/2024 03:11,18200,18210,10610,18030.01
02/05/2024 03:12,02/05/2024 03:45,18210,18220,3730,18030.48
02/05/2024 03:46,02/05/2024 04:23,18220,18230,5525,18031.22
02/05/2024 04:24,02/05/2024 04:49,18220,18210,3317,18031.63
02/05/2024 04:50,02/05/2024 04:52,18210,18200,1146,18031.76
02/05/2024 04:53,02/05/2024 05:24,18200,18190,3668,18032.16
02/05/2024 05:25,02/05/2024 05:30,18200,18210,695,18032.24
02/05/2024 05:31,02/05/2024 05:38,18210,18220,1607,18032.44
02/05/2024 05:39,02/05/2024 07:21,18220,18230,14208,18034.28
02/05/2024 07:22,02/05/2024 08:29,18230,18240,16441,18036.47
02/05/2024 08:30,02/05/2024 08:42,18230,18220,3575,18036.91
02/05/2024 08:43,02/05/2024 09:28,18220,18210,14843,18038.62
02/05/2024 09:29,02/05/2024 09:34,18220,18230,18879,18040.9
02/05/2024 09:35,02/05/2024 09:38,18230,18240,11330,18042.32
02/05/2024 09:39,02/05/2024 09:40,18230,18220,5627,18042.97
02/05/2024 09:41,02/05/2024 09:50,18220,18210,20069,18045.11
02/05/2024 09:51,02/05/2024 09:56,18200,18190,9321,18045.98
02/05/2024 09:57,02/05/2024 10:02,18200,18210,12075,18047.18
02/05/2024 10:03,02/05/2024 10:03,18200,18190,2051,18047.37
02/05/2024 10:04,02/05/2024 10:04,18190,18180,3717,18047.68
