Time_Start,Time_End,Renko_Open,Renko_Close,Volume,Indicator_1
04/02/2024 06:00:00,04/02/2024 06:00:30,18730,18720,489,18763.12
04/02/2024 06:01:00,04/02/2024 06:39:00,18720,18710,5954,18762.62
04/02/2024 06:39:30,04/02/2024 06:39:30,18710,18700,710,18762.55
04/02/2024 06:40:00,04/02/2024 07:21:00,18700,18690,7556,18761.68
04/02/2024 07:21:30,04/02/2024 07:23:00,18690,18680,987,18761.55
04/02/2024 07:23:30,04/02/2024 08:14:30,18680,18670,12210,18759.79
04/02/2024 08:15:00,04/02/2024 08:36:30,18670,18660,6233,18758.82
04/02/2024 08:37:00,04/02/2024 08:39:30,18660,18650,1733,18758.53
04/02/2024 08:40:00,04/02/2024 08:41:00,18650,18640,1367,18758.27
04/02/2024 08:41:30,04/02/2024 08:42:00,18640,18630,859,18758.1
04/02/2024 08:42:30,04/02/2024 08:44:00,18630,18620,2413,18757.58
04/02/2024 08:44:30,04/02/2024 08:48:00,18620,18610,3681,18756.74
04/02/2024 08:48:30,04/02/2024 08:57:00,18610,18600,6040,18755.28
04/02/2024 08:57:30,04/02/2024 09:03:00,18600,18590,7065,18753.5
04/02/2024 09:03:30,04/02/2024 09:08:00,18590,18580,5646,18752.01
04/02/2024 09:08:30,04/02/2024 09:11:30,18580,18570,3530,18751.04
04/02/2024 09:12:00,04/02/2024 09:14:00,18570,18560,2852,18750.23
04/02/2024 09:14:30,04/02/2024 09:19:00,18560,18550,4630,18748.84
04/02/2024 09:19:30,04/02/2024 09:25:00,18550,18540,5826,18747.04
04/02/2024 09:25:30,04/02/2024 09:39:00,18540,18530,45047,18733.48
04/02/2024 09:39:30,04/02/2024 09:40:00,18520,18510,4414,18732.12
04/02/2024 09:40:30,04/02/2024 09:59:30,18500,18490,45156,18717.92
04/02/2024 10:00:00,04/02/2024 10:02:30,18500,18510,10953,18714.91
04/02/2024 10:03:00,04/02/2024 10:04:30,18510,18520,6076,18713.36
04/02/2024 10:05:00,04/02/2024 10:06:30,18520,18530,4159,18712.37
04/02/2024 10:07:00,04/02/2024 10:10:00,18520,18510,5375,18711.0
04/02/2024 10:10:30,04/02/2024 10:10:30,18510,18500,678,18710.82
